State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald,num_stations,num_charging_outlets,Year
South Dakota,0.0,0.0,83.0,58 | 160,0 | 0 | 0,0.0,7 | 14 | 21,0.0,264.0,58,160,2021
Tennessee,9.0,20.0,95.0,"685 | 1,637",0 | 0 | 0,4.0,23 | 32 | 55,0.0,1820.0,685,1637,2021
Texas,15.0,107.0,272.0,"2,320 | 5,501",0 | 0 | 0,15.0,176 | 208 | 384,0.0,6294.0,2320,5501,2021
Utah,1.0,42.0,1.0,"909 | 1,980",0 | 0 | 0,1.0,21 | 15 | 36,0.0,2061.0,909,1980,2021
Vermont,2.0,3.0,0.0,329 | 878,0 | 0 | 0,0.0,0 | 1 | 1,0.0,884.0,329,878,2021
Virginia,7.0,23.0,64.0,"1,139 | 3,302",0 | 1 | 1,1.0,36 | 49 | 85,0.0,3483.0,1139,3302,2021
Washington,23.0,24.0,14.0,"1,773 | 4,325",0 | 1 | 1,1.0,52 | 26 | 78,0.0,4466.0,1773,4325,2021
West Virginia,1.0,2.0,38.0,110 | 306,0 | 0 | 0,0.0,5 | 12 | 17,0.0,364.0,110,306,2021
Wisconsin,4.0,43.0,262.0,475 | 961,0 | 0 | 0,1.0,17 | 35 | 52,0.0,1323.0,475,961,2021
Wyoming,0.0,9.0,9.0,70 | 184,0 | 0 | 0,0.0,6 | 14 | 20,0.0,222.0,70,184,2021
Alabama,10.0,28.0,31.0,327 | 851,0 | 0 | 0,2.0,29 | 33 | 62,0.0,984.0,327,851,2022
Alaska,0.0,1.0,0.0,61 | 113,0 | 0 | 0,0.0,1 | 1 | 2,0.0,116.0,61,113,2022
Arizona,76.0,28.0,18.0,"984 | 2,661",0 | 1 | 1,5.0,38 | 27 | 65,0.0,2854.0,984,2661,2022
Arkansas,17.0,11.0,74.0,218 | 590,0 | 0 | 0,0.0,17 | 19 | 36,0.0,728.0,218,590,2022
California,33.0,312.0,331.0,"14,609 | 43,589",51 | 6 | 57,40.0,128 | 118 | 246,0.0,44608.0,14609,43589,2022
Colorado,5.0,27.0,95.0,"1,787 | 4,408",0 | 1 | 1,1.0,27 | 22 | 49,0.0,4586.0,1787,4408,2022
Connecticut,1.0,13.0,3.0,"598 | 1,643",0 | 0 | 0,0.0,8 | 10 | 18,0.0,1678.0,598,1643,2022
Delaware,0.0,2.0,2.0,156 | 367,0 | 1 | 1,0.0,7 | 12 | 19,0.0,391.0,156,367,2022
District of Columbia,9.0,3.0,4.0,301 | 972,0 | 0 | 0,0.0,0 | 6 | 6,0.0,994.0,301,972,2022
Florida,5.0,52.0,144.0,"2,923 | 7,818",0 | 0 | 0,3.0,74 | 51 | 125,0.0,8147.0,2923,7818,2022
Georgia,3.0,42.0,59.0,"1,552 | 4,131",0 | 0 | 0,4.0,43 | 37 | 80,0.0,4319.0,1552,4131,2022
Hawaii,11.0,0.0,1.0,405 | 938,1 | 1 | 2,0.0,1 | 0 | 1,0.0,953.0,405,938,2022
Idaho,0.0,11.0,4.0,155 | 382,0 | 0 | 0,0.0,10 | 12 | 22,0.0,419.0,155,382,2022
Illinois,111.0,36.0,294.0,"1,342 | 3,351",0 | 0 | 0,2.0,41 | 44 | 85,0.0,3879.0,1342,3351,2022
Indiana,14.0,20.0,240.0,"404 | 1,093",0 | 0 | 0,1.0,25 | 23 | 48,0.0,1416.0,404,1093,2022
Iowa,272.0,9.0,346.0,305 | 659,0 | 0 | 0,0.0,25 | 9 | 34,0.0,1320.0,305,659,2022
Kansas,11.0,19.0,73.0,"489 | 1,045",0 | 0 | 0,1.0,9 | 27 | 36,0.0,1185.0,489,1045,2022
Kentucky,1.0,7.0,73.0,256 | 629,0 | 0 | 0,1.0,4 | 15 | 19,0.0,730.0,256,629,2022
Louisiana,1.0,20.0,18.0,193 | 475,0 | 0 | 0,1.0,12 | 36 | 48,0.0,563.0,193,475,2022
Maine,1.0,2.0,1.0,412 | 869,0 | 0 | 0,0.0,2 | 6 | 8,0.0,881.0,412,869,2022
Maryland,24.0,15.0,55.0,"1,384 | 3,964",0 | 0 | 0,0.0,18 | 15 | 33,0.0,4091.0,1384,3964,2022
Massachusetts,1.0,13.0,7.0,"2,406 | 5,748",0 | 2 | 2,0.0,20 | 10 | 30,0.0,5801.0,2406,5748,2022
Michigan,8.0,16.0,230.0,"1,149 | 2,703",0 | 2 | 2,0.0,34 | 53 | 87,0.0,3046.0,1149,2703,2022
Minnesota,245.0,21.0,439.0,"601 | 1,533",0 | 0 | 0,0.0,26 | 21 | 47,0.0,2285.0,601,1533,2022
Mississippi,1.0,6.0,5.0,114 | 440,0 | 0 | 0,2.0,16 | 51 | 67,0.0,521.0,114,440,2022
Missouri,14.0,18.0,139.0,"1,029 | 2,216",0 | 0 | 0,1.0,23 | 32 | 55,0.0,2443.0,1029,2216,2022
Montana,0.0,1.0,2.0,98 | 253,0 | 0 | 0,0.0,18 | 11 | 29,0.0,285.0,98,253,2022
Nebraska,24.0,8.0,127.0,214 | 446,0 | 0 | 0,0.0,7 | 20 | 27,0.0,632.0,214,446,2022
Nevada,2.0,5.0,19.0,"478 | 1,670",0 | 0 | 0,0.0,10 | 12 | 22,0.0,1718.0,478,1670,2022
New Hampshire,2.0,4.0,0.0,201 | 466,0 | 0 | 0,0.0,5 | 11 | 16,0.0,488.0,201,466,2022
New Jersey,5.0,27.0,6.0,"938 | 2,713",0 | 0 | 0,0.0,7 | 5 | 12,0.0,2763.0,938,2713,2022
New Mexico,1.0,11.0,17.0,211 | 528,0 | 0 | 0,1.0,43 | 18 | 61,0.0,619.0,211,528,2022
New York,20.0,46.0,80.0,"3,326 | 9,535",0 | 1 | 1,0.0,18 | 27 | 45,0.0,9727.0,3326,9535,2022
North Carolina,108.0,35.0,107.0,"1,166 | 3,040",0 | 0 | 0,1.0,22 | 49 | 71,0.0,3362.0,1166,3040,2022
North Dakota,1.0,1.0,42.0,80 | 172,0 | 0 | 0,0.0,4 | 15 | 19,0.0,235.0,80,172,2022
Ohio,4.0,47.0,210.0,"1,247 | 2,818",0 | 2 | 2,4.0,28 | 44 | 72,0.0,3157.0,1247,2818,2022
Oklahoma,9.0,112.0,95.0,"340 | 1,093",0 | 0 | 0,0.0,34 | 80 | 114,0.0,1423.0,340,1093,2022
Oregon,34.0,14.0,5.0,"1,009 | 2,475",0 | 0 | 0,2.0,28 | 15 | 43,0.0,2573.0,1009,2475,2022
Pennsylvania,4.0,86.0,172.0,"1,326 | 3,251",0 | 0 | 0,2.0,40 | 42 | 82,0.0,3597.0,1326,3251,2022
Rhode Island,3.0,1.0,0.0,297 | 783,0 | 0 | 0,0.0,3 | 2 | 5,0.0,792.0,297,783,2022
South Carolina,32.0,11.0,60.0,413 | 978,0 | 0 | 0,1.0,21 | 25 | 46,0.0,1128.0,413,978,2022
South Dakota,0.0,0.0,81.0,69 | 176,0 | 0 | 0,0.0,4 | 12 | 16,0.0,273.0,69,176,2022
Tennessee,7.0,18.0,93.0,"695 | 1,683",0 | 0 | 0,4.0,27 | 26 | 53,0.0,1858.0,695,1683,2022
Texas,11.0,86.0,262.0,"2,471 | 6,332",0 | 0 | 0,15.0,170 | 193 | 363,0.0,7069.0,2471,6332,2022
Utah,1.0,42.0,1.0,"780 | 1,853",0 | 0 | 0,1.0,21 | 15 | 36,0.0,1934.0,780,1853,2022
Vermont,2.0,2.0,0.0,351 | 898,0 | 0 | 0,0.0,0 | 1 | 1,0.0,903.0,351,898,2022
Virginia,7.0,22.0,72.0,"1,221 | 3,643",0 | 1 | 1,1.0,40 | 42 | 82,0.0,3828.0,1221,3643,2022
Washington,21.0,25.0,12.0,"1,784 | 4,533",0 | 1 | 1,1.0,52 | 19 | 71,0.0,4664.0,1784,4533,2022
West Virginia,1.0,2.0,38.0,137 | 385,0 | 0 | 0,0.0,6 | 11 | 17,0.0,443.0,137,385,2022
Wisconsin,23.0,43.0,257.0,"470 | 1,101",0 | 0 | 0,1.0,21 | 32 | 53,0.0,1478.0,470,1101,2022
Wyoming,0.0,9.0,8.0,86 | 214,0 | 0 | 0,0.0,4 | 12 | 16,0.0,247.0,86,214,2022
