State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
Delaware,2017,3500.0,0.0,19.0,41,113,400,54181.91115984257,0.18456344167150002,0.0007567101108531501
Florida,2017,0.0,0.0,-3.4,1134,2508,15900,1474502.4669391857,0.2916237915102348,0.0007690729757502472
Georgia,2017,0.0,213.7,0.2,698,1882,14400,525397.2742101261,-0.6851957893029008,0.0013285185025928466
Hawaii,2017,0.0,50.0,29.5,275,626,5400,82114.13924469068,1.4613804772697405,0.003348996927076489
Idaho,2017,0.0,140.0,-30.8,77,171,700,84741.33608862702,0.3540184918564937,0.0009086474624316671
Illinois,2017,0.0,100.0,17.0,543,1205,8300,576242.5710936217,0.43384507244151993,0.0009423114973429813
Indiana,2017,0.0,150.0,-16.1,198,399,1900,271173.2659442451,0.22126074925223777,0.0007301604725323846
Iowa,2017,0.0,130.0,-8.2,117,258,600,135586.63297212255,0.1475071661681585,0.0008629169220837272
Kansas,2017,0.0,70.0,-14.7,194,742,1000,118261.00025108339,0.33823492034630886,0.001640439363679598
Kentucky,2017,0.0,120.0,-25.9,95,191,700,150974.6770688637,0.13247254697473174,0.0006292445981299757
Louisiana,2017,0.0,100.0,-18.6,88,195,600,244808.4418200112,0.08169652913646033,0.00035946472820042546
Maine,2017,0.0,0.0,9.1,129,216,500,65179.73847590594,0.3068438209121246,0.001979142644883204
Maryland,2017,1500.0,0.0,33.2,563,1360,4400,303550.186144895,0.3953217803092364,0.0018547180192841676
Massachusetts,2017,2500.0,0.0,33.5,586,1474,5600,345156.9614216738,0.5794465195666808,0.0016977783023303745
Michigan,2017,0.0,145.0,2.8,554,1206,2500,610139.8483745515,0.1475071661681585,0.0009079885561906646
Minnesota,2017,0.0,75.0,7.1,294,760,2300,241890.2971634806,0.2893873827137877,0.0012154270073979085
Mississippi,2017,0.0,150.0,-16.5,57,116,200,121166.76414963126,0.08253088270683535,0.0004704260314289615
Missouri,2017,0.0,105.0,-15.4,377,1558,2100,322018.56282774056,0.2173787727803926,0.0011707399619744002
Montana,2017,0.0,0.0,-16.4,33,84,300,70406.8944962166,0.14203154494390266,0.00046870409831487877
Nebraska,2017,0.0,75.0,-19.2,64,163,500,86895.58797762288,0.23016128281622705,0.0007365161050119266
Nevada,2017,0.0,0.0,2.4,229,604,3100,153772.72837296178,0.7153414078288641,0.0014892107490255444
New Hampshire,2017,0.0,0.0,7.4,100,189,600,116162.46177300983,0.17217265969346882,0.0008608632984673441
New Jersey,2017,2600.0,0.0,15.9,265,553,6900,566721.7682048986,0.4764242616888176,0.00046760159017606166
New Mexico,2017,0.0,0.0,10.8,61,165,700,86485.78488839437,0.23125187596792943,0.0007053182217021847
New York,2017,1333.0,0.0,23.1,954,1952,9400,966054.4504074235,0.3415956521506897,0.0009875219762174486
North Carolina,2017,0.0,140.25,-1.3,595,1352,4400,476874.60752419167,0.31454809636176856,0.001247707448901682
North Dakota,2017,0.0,120.0,-33.4,10,15,100,35271.541417013344,0.28351468629540716,0.0002835146862954072
Ohio,2017,0.0,200.0,-8.0,378,743,3700,593190.5906961875,0.18543787060226374,0.0006372319553423245
Oklahoma,2017,0.0,110.0,-33.1,60,137,1200,474553.2154024289,0.1264347138584216,0.0001264347138584216
Oregon,2017,937.5,91.0,16.1,564,1345,10000,186431.92985561807,1.2336942506475321,0.0030252328581096004
Pennsylvania,2017,2000.0,0.0,1.2,388,770,4400,650177.9816149177,0.184564847462141,0.0005967596734609225
Rhode Island,2017,0.0,0.0,20.8,85,213,400,52352.03512999436,0.19101454174931667,0.0016236236048691917
South Carolina,2017,0.0,60.0,-11.7,243,480,1200,239386.9078993716,0.16709351547668744,0.0010150931065208762
South Dakota,2017,0.0,50.0,-26.2,26,47,100,32520.536993249658,0.0,0.0007994947932562388
Tennessee,2017,2500.0,100.0,-23.2,450,1036,2900,288121.28554681083,0.1041228173859648,0.0015618422607894717
Texas,2017,1250.0,0.0,-5.6,1073,2654,16100,1627038.3575896723,0.2581377372210183,0.0006594804572336967
Utah,2017,0.0,130.25,-20.5,145,379,3600,169482.67217725405,0.6490339017369051,0.000855544688653193
Vermont,2017,0.0,0.0,35.4,173,426,700,50845.296883495525,0.7867000971919602,0.003402477920355228
Virginia,2017,0.0,120.0,10.1,474,1094,5100,372862.6216354379,0.5363905856874752,0.0012712456880793162
Washington,2017,0.0,150.0,19.2,810,2136,21000,332288.4015744192,1.8357547152104996,0.0024376415070827945
West Virginia,2017,0.0,200.0,-38.9,69,199,100,84113.63165890236,0.0,0.0008203188786308601
Wisconsin,2017,0.0,100.0,0.6,283,489,2800,237412.1770011254,0.0842416772914946,0.0011920197336746485
Wyoming,2017,0.0,200.0,-43.4,37,91,100,16805.6408857643,0.0,0.002201641713726128
Alabama,2018,0.0,200.0,-25.5,165,395,1300,221343.7793645604,0.2258929532311291,0.000745446745662726
Alaska,2018,0.0,0.0,-10.1,7,11,500,33187.88528199913,0.30131476938134194,0.00021092033856693934
Arizona,2018,0.0,0.0,0.3,480,1227,12600,408635.2436502102,1.321471919985045,0.0011746417066533735
Arkansas,2018,0.0,200.0,-27.6,70,124,600,119806.23850029173,0.2504043226424052,0.0005842767528322788
California,2018,2000.0,108.0,29.2,5480,21166,273500,2074421.31311179,4.039680824253277,0.002641700586743193
Colorado,2018,5000.0,51.88,13.5,707,1788,12500,241525.41660871275,1.8631579496622086,0.0029272281564692924
Connecticut,2018,0.0,0.0,20.1,383,837,5000,168811.32338995053,1.1847546478739717,0.002268805150678656
Delaware,2018,3500.0,0.0,19.0,50,133,800,54431.71396005426,0.7348657076893583,0.000918582134611698
