State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
West Virginia,2020,0.0,200.0,-38.9,93,258,600,71510.64593785055,0.2796786371833625,0.0013005056629026355
Wisconsin,2020,0.0,100.0,0.6,381,828,6300,201840.0322995081,0.7927069678753214,0.001887633467253109
Wyoming,2020,0.0,200.0,-43.4,61,172,300,14287.603702738976,0.6999074308089166,0.004269435327934391
Alabama,2021,0.0,200.0,-25.5,277,682,4700,193791.32643474272,0.9288341398530713,0.0014293725374405597
Alaska,2021,0.0,0.0,-10.1,52,94,1300,29056.720404912565,1.3766178509683864,0.0017896032062589024
Arizona,2021,0.0,0.0,0.3,890,2259,40700,357769.10524569143,3.3261675828123534,0.0024876379400865503
Arkansas,2021,0.0,200.0,-27.6,164,463,2400,104892.98565689007,1.0486878537313755,0.0015634982546540506
California,2021,2000.0,108.0,29.2,14607,41237,563100,1816201.291070934,7.587264730923377,0.008042610734731333
Colorado,2021,5000.0,51.88,13.5,1619,3992,37000,211460.79183556393,5.816681141327004,0.007656265664884894
Connecticut,2021,2250.0,0.0,20.1,533,1430,13300,147798.01072729277,2.9093760997460776,0.003606273165499208
Delaware,2021,2500.0,0.0,19.0,134,314,3000,47656.15766893485,2.3082011933098965,0.002811808726395692
Florida,2021,0.0,0.0,-3.4,2636,6748,95600,1296911.100835584,2.8837751466468005,0.00203252173437459
Georgia,2021,0.0,213.7,0.2,1585,3947,34000,462117.6108889977,2.2721488540115686,0.003429862793912701
Hawaii,2021,0.0,50.0,29.5,386,839,14200,72224.18484186265,4.846022156793284,0.00534447015006345
Idaho,2021,0.0,140.0,-30.8,139,345,3500,74534.95801951225,1.6099827944973901,0.001864896736959477
Illinois,2021,0.0,100.0,17.0,1079,2764,36500,506839.0212847159,2.0716636957795806,0.002128881074043969
Indiana,2021,0.0,150.0,-16.1,357,971,10400,238512.73683046096,1.4255003926338659,0.001496775412265559
Iowa,2021,0.0,130.0,-8.2,281,584,3700,119256.36841523048,1.1739414998161248,0.0023562682960595075
Kansas,2021,0.0,70.0,-14.7,493,1017,4500,104017.46179504735,1.3459278623415316,0.00473958882953125
Kentucky,2021,0.0,120.0,-25.9,225,532,4200,132791.05259289633,1.204900457341199,0.001694391268136061
Louisiana,2021,0.0,100.0,-18.6,159,385,3200,215323.33305192733,0.5573014233950244,0.0007384243859984073
Maine,2021,1000.0,0.0,9.1,301,639,3000,57329.38959026447,1.918736633795939,0.005250361152477978
Maryland,2021,0.0,0.0,33.2,1257,3430,25600,266990.1305009204,2.846547168519325,0.004708039198458936
Massachusetts,2021,2500.0,0.0,33.5,2176,4871,30500,303585.7211739141,3.129264434198395,0.007167662535595482
Michigan,2021,0.0,145.0,2.8,817,1799,17500,536653.6578685371,1.2857454521795653,0.0015223971513488477
Minnesota,2021,0.0,75.0,7.1,586,1385,15000,212756.65426789335,2.1620945374558733,0.0027543204324981343
Mississippi,2021,0.0,150.0,-16.5,112,433,1300,106573.25097880966,0.46916087799500156,0.0010509203667088034
Missouri,2021,0.0,105.0,-15.4,1047,2188,10000,283234.1472261792,1.1651137521086945,0.0036965881771448576
Montana,2021,0.0,0.0,-16.4,75,212,1600,61926.978824966,1.130363556049651,0.0012111038100531975
Nebraska,2021,0.0,75.0,-19.2,182,377,2700,76429.74846678384,1.1775519585690348,0.0023812717384396036
Nevada,2021,0.0,0.0,2.4,451,1361,17400,135252.10225429508,4.731904268642716,0.003334513789309164
New Hampshire,2021,0.0,0.0,7.4,164,357,4000,102171.67454899829,1.2723683014283584,0.001605141549494237
New Jersey,2021,4600.0,0.0,15.9,749,2021,47800,498464.9186757973,3.490717069161892,0.001502613267127734
New Mexico,2021,0.0,0.0,10.8,189,461,4200,76069.30269779138,2.10334516454882,0.0024845764756232934
New York,2021,2000.0,0.0,23.1,2983,7646,51900,849701.3527185103,2.271386286281895,0.003510645229004608
North Carolina,2021,0.0,140.25,-1.3,1120,2789,25200,419439.0895042459,2.14572275813337,0.0026702327656770827
North Dakota,2021,0.0,120.0,-33.4,61,139,400,31023.382213977216,0.6446750345289315,0.001966258855313241
Ohio,2021,0.0,200.0,-8.0,957,2224,21200,521745.79509661294,1.2841502630144521,0.0018342265697087027
Oklahoma,2021,0.0,110.0,-33.1,313,1089,7100,417397.2894533067,0.886445622310135,0.0007498850804947899
Oregon,2021,2500.0,91.0,16.1,994,2433,30300,163977.77881094872,4.573790457697814,0.006061796953268836
Pennsylvania,2021,2000.0,0.0,1.2,1148,2688,26800,571869.5361871095,1.6262450456806883,0.002007450873592936
Rhode Island,2021,0.0,0.0,20.8,255,628,2500,46046.674748781166,1.954538530545732,0.005537859169879574
South Carolina,2021,0.0,60.0,-11.7,385,870,7400,210554.77709296046,1.4248073785927415,0.0018285028025273515
South Dakota,2021,0.0,50.0,-26.2,58,160,700,28603.713033610853,1.048814885142654,0.0020277087779424644
Tennessee,2021,0.0,100.0,-23.2,685,1637,12200,253419.51064235796,1.7362514783676484,0.0027030278697314524
Texas,2021,2500.0,0.0,-5.6,2320,5501,80900,1431075.3320227386,2.005484921568334,0.0016211585428705698
Utah,2021,0.0,130.25,-20.5,909,1980,16500,149069.9160390245,3.5553786711817366,0.006097809834158865
Vermont,2021,2500.0,0.0,35.4,329,878,3400,44721.410395718216,2.683278522259871,0.007356655281862479
Virginia,2021,0.0,120.0,10.1,1139,3302,30700,327954.4686618703,3.110187838457682,0.0034730430862777452
Washington,2021,0.0,150.0,19.2,1773,4325,66800,292267.07065153425,5.57709083122616,0.006066369352002443
West Virginia,2021,0.0,200.0,-38.9,110,306,1000,73982.85528573829,0.5406658048748062,0.001486830963405717
Wisconsin,2021,0.0,100.0,0.6,475,961,9300,208817.8858496282,1.4366585447380353,0.002274709362501889
Wyoming,2021,0.0,200.0,-43.4,70,184,500,14781.543408772746,1.3530386812063302,0.004735635384222156
Alabama,2022,0.0,200.0,-25.5,327,851,8700,177960.0,2.2476961114857272,0.001837491571139582
Alaska,2022,0.0,0.0,-10.1,61,113,2000,26683.0,2.6233931716823444,0.0022860997638946144
Arizona,2022,0.0,0.0,0.3,984,2661,65800,328542.0,7.6398146964467255,0.0029950508610771228
Arkansas,2022,0.0,200.0,-27.6,218,590,5100,96324.0,2.8030397408745484,0.00226319505003945
California,2022,2000.0,108.0,29.2,14609,43589,903600,1667831.0,20.415737565736578,0.008759280766456554
Colorado,2022,5000.0,51.88,13.5,1787,4408,59900,194186.0,11.792817195884359,0.00920251717425561
Connecticut,2022,2250.0,0.0,20.1,598,1643,22000,135724.0,6.410067489905986,0.004406000412602046
Delaware,2022,2500.0,0.0,19.0,156,367,5400,43763.0,5.484084729109065,0.003564655073920892
Florida,2022,0.0,0.0,-3.4,2923,7818,168000,1190963.0,6.079114128650512,0.0024543163809455037
Georgia,2022,0.0,213.7,0.2,1552,4131,60100,424366.0,6.1503513476574465,0.003657220418223892
Hawaii,2022,0.0,50.0,29.5,405,938,19800,66324.0,8.443399071226102,0.006106386828297449
Idaho,2022,0.0,140.0,-30.8,155,382,5900,68446.0,3.5064138152704323,0.002264558922362154
Illinois,2022,2000.0,100.0,17.0,1342,3351,66900,465434.0,6.531538306183046,0.0028833303970058053
Indiana,2022,0.0,150.0,-16.1,404,1093,17700,219028.0,3.3329072082108224,0.0018445130302974962
Iowa,2022,0.0,130.0,-8.2,305,659,6200,109514.0,2.2828131563087823,0.0027850320506967144
Kansas,2022,0.0,70.0,-14.7,489,1045,7600,95520.0,3.245393634840871,0.005119346733668342
Kentucky,2022,0.0,120.0,-25.9,256,629,7600,121943.0,2.7881879238660687,0.0020993414956168048
Louisiana,2022,0.0,100.0,-18.6,193,475,5900,197733.0,1.365477689611749,0.0009760636818335836
Maine,2022,1000.0,0.0,9.1,412,869,5000,52646.0,3.7989590852106523,0.007825855715533944
Maryland,2022,0.0,0.0,33.2,1384,3964,46100,245179.0,8.36123811582558,0.0056448553913671234
Massachusetts,2022,2500.0,0.0,33.5,2406,5748,49400,278785.0,6.779417830944993,0.008630306508599818
Michigan,2022,0.0,145.0,2.8,1149,2703,33100,492813.0,3.1655009100815117,0.0023315131703100364
Minnesota,2022,0.0,75.0,7.1,601,1533,24300,195376.0,4.760052411759888,0.003076119891900745
Mississippi,2022,0.0,150.0,-16.5,114,440,2400,97867.0,1.1239743733842869,0.001164846168780079
Missouri,2022,0.0,105.0,-15.4,1029,2216,17900,260096.0,3.037340059055118,0.0039562315452755905
Montana,2022,0.0,0.0,-16.4,98,253,3300,56868.0,2.989378912569459,0.0017232890201870998
Nebraska,2022,0.0,75.0,-19.2,214,446,4600,70186.0,2.707092582566324,0.0030490411193115434
Nevada,2022,0.0,0.0,2.4,478,1670,32900,124203.0,12.479569736640823,0.00384853828007375
New Hampshire,2022,0.0,0.0,7.4,201,466,7000,93825.0,3.1974420463629096,0.0021422861710631495
New Jersey,2022,6600.0,0.0,15.9,938,2713,87000,457744.0,8.563738683631025,0.0020491803278688526
New Mexico,2022,0.0,0.0,10.8,211,528,7100,69855.0,4.151456588647913,0.0030205425524300338
New York,2022,2000.0,0.0,23.1,3326,9535,84700,780287.0,4.203581502703493,0.004262534170119456
North Carolina,2022,0.0,140.25,-1.3,1166,3040,45600,385174.0,5.2963076427796265,0.0030272032899416887
North Dakota,2022,0.0,120.0,-33.4,80,172,600,28489.0,0.7020253431148864,0.0028081013724595458
Ohio,2022,0.0,200.0,-8.0,1247,2818,34100,479123.0,2.6924192743825697,0.002602671965236484
Oklahoma,2022,0.0,110.0,-33.1,340,1093,16300,383299.0,2.400214975776091,0.0008870359693085555
Oregon,2022,2500.0,91.0,16.1,1009,2475,47000,150582.0,11.09030295785685,0.006700668074537461
Pennsylvania,2022,2000.0,0.0,1.2,1326,3251,47400,525152.0,3.922673816342697,0.002524983242946804
Rhode Island,2022,1250.0,0.0,20.8,297,783,4300,42285.0,4.2568286626463285,0.007023767293366442
South Carolina,2022,0.0,60.0,-11.7,413,978,13500,193354.0,3.154835172791874,0.002135978567808269
South Dakota,2022,0.0,50.0,-26.2,69,176,1200,26267.0,1.9035291430311798,0.002626870217383028
Tennessee,2022,0.0,100.0,-23.2,695,1683,22000,232717.0,4.211123381618017,0.0029864599492086955
Texas,2022,2500.0,0.0,-5.6,2471,6332,149000,1314167.0,5.181989807992439,0.0018802785338545252
Utah,2022,0.0,130.25,-20.5,780,1853,28000,136892.0,8.40078309908541,0.005697922449814452
Vermont,2022,2500.0,0.0,35.4,351,898,5300,41068.0,4.626473166455635,0.008546800428557514
Virginia,2022,2500.0,120.0,10.1,1221,3643,56600,301163.0,8.599994023170177,0.004054282896637369
Washington,2022,0.0,150.0,19.2,1784,4533,104100,268391.0,13.897634421422477,0.006647018715232627
West Virginia,2022,0.0,200.0,-38.9,137,385,1900,67939.0,1.3247177615213648,0.0020165148147602997
Wisconsin,2022,0.0,100.0,0.6,470,1101,15700,191759.0,3.337522619538066,0.0024509931737232674
Wyoming,2022,0.0,200.0,-43.4,86,214,800,13574.000000000002,2.21010755856785,0.006335641667894503
